        Frequency / GHz                SZmax(1),Zmax(1)/arg,degrees
----------------------------------------------------------------------
                      10                       139.84162
                   10.02                       139.43492
                   10.04                       139.01822
                   10.06                       138.59112
                   10.08                       138.15318
                    10.1                       137.70396
                   10.12                       137.24298
                   10.14                       136.76974
                   10.16                       136.28371
                   10.18                       135.78431
                    10.2                       135.27097
                   10.22                       134.74304
                   10.24                       134.19986
                   10.26                       133.64071
                   10.28                       133.06486
                    10.3                       132.47149
                   10.32                       131.85976
                   10.34                       131.22877
                   10.36                       130.57754
                   10.38                       129.90505
                    10.4                       129.21022
                   10.42                       128.49186
                   10.44                       127.74873
                   10.46                        126.9795
                   10.48                       126.18273
                    10.5                       125.35689
                   10.52                       124.50034
                   10.54                       123.61132
                   10.56                       122.68794
                   10.58                       121.72815
                    10.6                       120.72977
                   10.62                       119.69044
                   10.64                       118.60762
                   10.66                       117.47856
                   10.68                        116.3003
                    10.7                       115.06964
                   10.72                       113.78312
                   10.74                       112.43698
                   10.76                       111.02718
                   10.78                       109.54931
                    10.8                       107.99862
                   10.82                       106.36993
                   10.84                       104.65763
                   10.86                       102.85566
                   10.88                       100.95742
                    10.9                       98.955771
                   10.92                       96.842983
                   10.94                       94.610695
                   10.96                       92.249885
                   10.98                       89.750837
                      11                       87.103122
                   11.02                       84.295596
                   11.04                       81.316412
                   11.06                       78.153067
                   11.08                       74.792481
                    11.1                       71.221142
                   11.12                       67.425299
                   11.14                       63.391261
                   11.16                       59.105784
                   11.18                       54.556597
                    11.2                       49.733057
                   11.22                       44.626969
                   11.24                       39.233534
                   11.26                       33.552434
                   11.28                       27.588963
                    11.3                       21.355126
                   11.32                       14.870559
                   11.34                        8.163104
                   11.36                       1.2688657
                   11.38                       -5.768402
                    11.4                      -12.898635
                   11.42                      -20.067479
                   11.44                      -27.218806
                   11.46                      -34.297435
                   11.48                      -41.251735
                    11.5                      -48.035794
                   11.52                      -54.610949
                   11.54                      -60.946599
                   11.56                      -67.020341
                   11.58                      -72.817538
                    11.6                      -78.330515
                   11.62                      -83.557521
                   11.64                      -88.501627
                   11.66                      -93.169644
                   11.68                      -97.571143
                    11.7                      -101.71761
                   11.72                      -105.62175
                   11.74                      -109.29692
                   11.76                      -112.75669
                   11.78                      -116.01453
                    11.8                      -119.08357
                   11.82                      -121.97644
                   11.84                      -124.70516
                   11.86                      -127.28108
                   11.88                      -129.71487
                    11.9                      -132.01647
                   11.92                      -134.19517
                   11.94                      -136.25955
                   11.96                       -138.2176
                   11.98                      -140.07667
                      12                      -141.84358
                   12.02                      -143.52461
                   12.04                      -145.12555
                   12.06                      -146.65176
                   12.08                      -148.10816
                    12.1                      -149.49932
                   12.12                      -150.82943
                   12.14                      -152.10237
                   12.16                      -153.32174
                   12.18                      -154.49085
                    12.2                      -155.61277
                   12.22                      -156.69034
                   12.24                      -157.72619
                   12.26                      -158.72278
                   12.28                      -159.68236
                    12.3                      -160.60704
                   12.32                      -161.49879
                   12.34                      -162.35942
                   12.36                      -163.19065
                   12.38                      -163.99404
                    12.4                      -164.77108
                   12.42                      -165.52315
                   12.44                      -166.25154
                   12.46                      -166.95746
                   12.48                      -167.64204
                    12.5                      -168.30635
                   12.52                      -168.95137
                   12.54                      -169.57803
                   12.56                      -170.18723
                   12.58                      -170.77978
                    12.6                      -171.35645
                   12.62                      -171.91799
                   12.64                      -172.46508
                   12.66                      -172.99836
                   12.68                      -173.51846
                    12.7                      -174.02596
                   12.72                      -174.52139
                   12.74                      -175.00529
                   12.76                      -175.47814
                   12.78                      -175.94041
                    12.8                      -176.39253
                   12.82                      -176.83493
                   12.84                        -177.268
                   12.86                      -177.69212
                   12.88                      -178.10765
                    12.9                      -178.51493
                   12.92                      -178.91428
                   12.94                      -179.30601
                   12.96                      -179.69041
                   12.98                       179.93223
                      13                       179.56164
                   13.02                       179.19758
                   13.04                        178.8398
                   13.06                       178.48806
                   13.08                       178.14215
                    13.1                       177.80185
                   13.12                       177.46695
                   13.14                       177.13728
                   13.16                       176.81263
                   13.18                       176.49282
                    13.2                        176.1777
                   13.22                       175.86709
                   13.24                       175.56083
                   13.26                       175.25878
                   13.28                       174.96079
                    13.3                       174.66672
                   13.32                       174.37644
                   13.34                       174.08981
                   13.36                       173.80672
                   13.38                       173.52704
                    13.4                       173.25066
                   13.42                       172.97746
                   13.44                       172.70735
                   13.46                       172.44022
                   13.48                       172.17596
                    13.5                       171.91449
                   13.52                       171.65571
                   13.54                       171.39953
                   13.56                       171.14587
                   13.58                       170.89464
                    13.6                       170.64576
                   13.62                       170.39915
                   13.64                       170.15475
                   13.66                       169.91247
                   13.68                       169.67224
                    13.7                         169.434
                   13.72                       169.19768
                   13.74                       168.96322
                   13.76                       168.73055
                   13.78                       168.49961
                    13.8                       168.27035
                   13.82                        168.0427
                   13.84                       167.81662
                   13.86                       167.59205
                   13.88                       167.36894
                    13.9                       167.14723
                   13.92                       166.92688
                   13.94                       166.70783
                   13.96                       166.49005
                   13.98                       166.27349
                      14                        166.0581
                   14.02                       165.84383
                   14.04                       165.63066
                   14.06                       165.41853
                   14.08                       165.20741
                    14.1                       164.99726
                   14.12                       164.78804
                   14.14                       164.57971
                   14.16                       164.37223
                   14.18                       164.16558
                    14.2                       163.95971
                   14.22                        163.7546
                   14.24                       163.55021
                   14.26                        163.3465
                   14.28                       163.14345
                    14.3                       162.94103
                   14.32                       162.73919
                   14.34                       162.53793
                   14.36                        162.3372
                   14.38                       162.13697
                    14.4                       161.93723
                   14.42                       161.73794
                   14.44                       161.53907
                   14.46                        161.3406
                   14.48                        161.1425
                    14.5                       160.94475
                   14.52                       160.74732
                   14.54                       160.55019
                   14.56                       160.35333
                   14.58                       160.15672
                    14.6                       159.96033
                   14.62                       159.76415
                   14.64                       159.56815
                   14.66                        159.3723
                   14.68                       159.17659
                    14.7                       158.98099
                   14.72                       158.78549
                   14.74                       158.59005
                   14.76                       158.39467
                   14.78                       158.19931
                    14.8                       158.00396
                   14.82                        157.8086
                   14.84                       157.61321
                   14.86                       157.41777
                   14.88                       157.22226
                    14.9                       157.02666
                   14.92                       156.83095
                   14.94                       156.63511
                   14.96                       156.43913
                   14.98                       156.24298
                      15                       156.04665
                   15.02                       155.85012
                   15.04                       155.65337
                   15.06                       155.45638
                   15.08                       155.25913
                    15.1                       155.06162
                   15.12                       154.86381
                   15.14                        154.6657
                   15.16                       154.46727
                   15.18                       154.26849
                    15.2                       154.06935
                   15.22                       153.86984
                   15.24                       153.66994
                   15.26                       153.46962
                   15.28                       153.26889
                    15.3                       153.06771
                   15.32                       152.86607
                   15.34                       152.66396
                   15.36                       152.46135
                   15.38                       152.25824
                    15.4                       152.05461
                   15.42                       151.85043
                   15.44                        151.6457
                   15.46                       151.44039
                   15.48                        151.2345
                    15.5                         151.028
                   15.52                       150.82089
                   15.54                       150.61313
                   15.56                       150.40473
                   15.58                       150.19565
                    15.6                       149.98589
                   15.62                       149.77543
                   15.64                       149.56426
                   15.66                       149.35235
                   15.68                        149.1397
                    15.7                       148.92628
                   15.72                       148.71208
                   15.74                       148.49708
                   15.76                       148.28127
                   15.78                       148.06464
                    15.8                       147.84716
                   15.82                       147.62882
                   15.84                        147.4096
                   15.86                        147.1895
                   15.88                       146.96848
                    15.9                       146.74654
                   15.92                       146.52366
                   15.94                       146.29983
                   15.96                       146.07502
                   15.98                       145.84922
                      16                       145.62242
                   16.02                       145.39459
                   16.04                       145.16573
                   16.06                       144.93581
                   16.08                       144.70482
                    16.1                       144.47274
                   16.12                       144.23956
                   16.14                       144.00526
                   16.16                       143.76982
                   16.18                       143.53322
                    16.2                       143.29545
                   16.22                        143.0565
                   16.24                       142.81633
                   16.26                       142.57495
                   16.28                       142.33233
                    16.3                       142.08844
                   16.32                       141.84329
                   16.34                       141.59684
                   16.36                       141.34908
                   16.38                           141.1
                    16.4                       140.84957
                   16.42                       140.59778
                   16.44                       140.34461
                   16.46                       140.09004
                   16.48                       139.83405
                    16.5                       139.57663
                   16.52                       139.31776
                   16.54                       139.05741
                   16.56                       138.79558
                   16.58                       138.53224
                    16.6                       138.26738
                   16.62                       138.00097
                   16.64                       137.73299
                   16.66                       137.46344
                   16.68                       137.19228
                    16.7                        136.9195
                   16.72                       136.64508
                   16.74                         136.369
                   16.76                       136.09125
                   16.78                       135.81179
                    16.8                       135.53062
                   16.82                       135.24771
                   16.84                       134.96305
                   16.86                        134.6766
                   16.88                       134.38836
                    16.9                        134.0983
                   16.92                        133.8064
                   16.94                       133.51265
                   16.96                       133.21701
                   16.98                       132.91947
                      17                       132.62001
                   17.02                       132.31861
                   17.04                       132.01525
                   17.06                       131.70989
                   17.08                       131.40254
                    17.1                       131.09315
