        Frequency / GHz                SZmax(1),Zmax(1)/abs,linear
----------------------------------------------------------------------
                      10                      0.96669945
                   10.02                      0.96625345
                   10.04                       0.9657941
                   10.06                      0.96532077
                   10.08                      0.96483277
                    10.1                      0.96432938
                   10.12                      0.96380982
                   10.14                      0.96327326
                   10.16                      0.96271884
                   10.18                       0.9621456
                    10.2                      0.96155256
                   10.22                      0.96093864
                   10.24                       0.9603027
                   10.26                      0.95964351
                   10.28                      0.95895977
                    10.3                      0.95825008
                   10.32                      0.95751293
                   10.34                       0.9567467
                   10.36                      0.95594966
                   10.38                      0.95511995
                    10.4                      0.95425557
                   10.42                      0.95335435
                   10.44                      0.95241398
                   10.46                      0.95143196
                   10.48                      0.95040558
                    10.5                      0.94933194
                   10.52                      0.94820789
                   10.54                      0.94703004
                   10.56                      0.94579472
                   10.58                      0.94449797
                    10.6                      0.94313549
                   10.62                      0.94170266
                   10.64                      0.94019446
                   10.66                      0.93860546
                   10.68                      0.93692981
                    10.7                      0.93516115
                   10.72                      0.93329265
                   10.74                      0.93131692
                   10.76                        0.929226
                   10.78                      0.92701133
                    10.8                      0.92466372
                   10.82                      0.92217336
                   10.84                      0.91952975
                   10.86                       0.9167218
                   10.88                      0.91373779
                    10.9                      0.91056547
                   10.92                      0.90719218
                   10.94                      0.90360496
                   10.96                      0.89979086
                   10.98                      0.89573719
                      11                      0.89143201
                   11.02                       0.8868647
                   11.04                      0.88202672
                   11.06                      0.87691261
                   11.08                      0.87152118
                    11.1                      0.86585704
                   11.12                      0.85993235
                   11.14                      0.85376894
                   11.16                       0.8474006
                   11.18                      0.84087551
                    11.2                      0.83425866
                   11.22                      0.82763387
                   11.24                      0.82110511
                   11.26                      0.81479653
                   11.28                      0.80885075
                    11.3                       0.8034248
                   11.32                      0.79868338
                   11.34                      0.79478954
                   11.36                      0.79189325
                   11.38                      0.79011897
                    11.4                      0.78955399
                   11.42                      0.79023921
                   11.44                      0.79216419
                   11.46                      0.79526737
                   11.48                      0.79944157
                    11.5                      0.80454365
                   11.52                      0.81040688
                   11.54                      0.81685396
                   11.56                      0.82370891
                   11.58                      0.83080683
                    11.6                      0.83800065
                   11.62                      0.84516506
                   11.64                      0.85219793
                   11.66                      0.85901974
                   11.68                      0.86557178
                    11.7                      0.87181352
                   11.72                      0.87771967
                   11.74                      0.88327739
                   11.76                       0.8884835
                   11.78                      0.89334221
                    11.8                      0.89786309
                   11.82                      0.90205945
                   11.84                      0.90594702
                   11.86                      0.90954299
                   11.88                      0.91286519
                    11.9                      0.91593152
                   11.92                      0.91875961
                   11.94                      0.92136646
                   11.96                      0.92376829
                   11.98                      0.92598045
                      12                       0.9280173
                   12.02                      0.92989226
                   12.04                      0.93161776
                   12.06                      0.93320532
                   12.08                      0.93466554
                    12.1                      0.93600819
                   12.12                      0.93724224
                   12.14                      0.93837594
                   12.16                      0.93941683
                   12.18                      0.94037183
                    12.2                      0.94124729
                   12.22                      0.94204901
                   12.24                      0.94278231
                   12.26                      0.94345207
                   12.28                      0.94406276
                    12.3                      0.94461848
                   12.32                      0.94512298
                   12.34                      0.94557971
                   12.36                      0.94599184
                   12.38                      0.94636228
                    12.4                      0.94669371
                   12.42                      0.94698858
                   12.44                      0.94724917
                   12.46                      0.94747756
                   12.48                      0.94767568
                    12.5                      0.94784531
                   12.52                      0.94798808
                   12.54                       0.9481055
                   12.56                      0.94819899
                   12.58                      0.94826984
                    12.6                      0.94831924
                   12.62                       0.9483483
                   12.64                      0.94835807
                   12.66                      0.94834948
                   12.68                      0.94832344
                    12.7                      0.94828076
                   12.72                       0.9482222
                   12.74                      0.94814848
                   12.76                      0.94806027
                   12.78                      0.94795816
                    12.8                      0.94784275
                   12.82                      0.94771456
                   12.84                      0.94757408
                   12.86                      0.94742179
                   12.88                      0.94725811
                    12.9                      0.94708344
                   12.92                      0.94689817
                   12.94                      0.94670264
                   12.96                      0.94649717
                   12.98                      0.94628208
                      13                      0.94605765
                   13.02                      0.94582414
                   13.04                       0.9455818
                   13.06                      0.94533087
                   13.08                      0.94507155
                    13.1                      0.94480405
                   13.12                      0.94452855
                   13.14                      0.94424524
                   13.16                      0.94395426
                   13.18                      0.94365578
                    13.2                      0.94334994
                   13.22                      0.94303686
                   13.24                      0.94271666
                   13.26                      0.94238946
                   13.28                      0.94205537
                    13.3                      0.94171447
                   13.32                      0.94136686
                   13.34                      0.94101262
                   13.36                      0.94065182
                   13.38                      0.94028453
                    13.4                      0.93991081
                   13.42                      0.93953073
                   13.44                      0.93914432
                   13.46                      0.93875165
                   13.48                      0.93835274
                    13.5                      0.93794765
                   13.52                      0.93753638
                   13.54                      0.93711899
                   13.56                      0.93669549
                   13.58                      0.93626589
                    13.6                      0.93583023
                   13.62                       0.9353885
                   13.64                      0.93494073
                   13.66                       0.9344869
                   13.68                      0.93402704
                    13.7                      0.93356114
                   13.72                      0.93308919
                   13.74                      0.93261119
                   13.76                      0.93212713
                   13.78                        0.931637
                    13.8                      0.93114079
                   13.82                      0.93063848
                   13.84                      0.93013005
                   13.86                      0.92961548
                   13.88                      0.92909474
                    13.9                      0.92856783
                   13.92                      0.92803469
                   13.94                      0.92749531
                   13.96                      0.92694966
                   13.98                       0.9263977
                      14                      0.92583939
                   14.02                       0.9252747
                   14.04                      0.92470359
                   14.06                      0.92412602
                   14.08                      0.92354195
                    14.1                      0.92295132
                   14.12                       0.9223541
                   14.14                      0.92175024
                   14.16                      0.92113968
                   14.18                      0.92052238
                    14.2                      0.91989828
                   14.22                      0.91926732
                   14.24                      0.91862946
                   14.26                      0.91798463
                   14.28                      0.91733278
                    14.3                      0.91667384
                   14.32                      0.91600775
                   14.34                      0.91533444
                   14.36                      0.91465385
                   14.38                      0.91396592
                    14.4                      0.91327057
                   14.42                      0.91256774
                   14.44                      0.91185734
                   14.46                      0.91113932
                   14.48                      0.91041358
                    14.5                      0.90968006
                   14.52                      0.90893868
                   14.54                      0.90818936
                   14.56                      0.90743202
                   14.58                      0.90666657
                    14.6                      0.90589292
                   14.62                      0.90511101
                   14.64                      0.90432073
                   14.66                      0.90352199
                   14.68                      0.90271472
                    14.7                       0.9018988
                   14.72                      0.90107416
                   14.74                      0.90024069
                   14.76                       0.8993983
                   14.78                      0.89854689
                    14.8                      0.89768636
                   14.82                      0.89681661
                   14.84                      0.89593753
                   14.86                      0.89504901
                   14.88                      0.89415096
                    14.9                      0.89324326
                   14.92                       0.8923258
                   14.94                      0.89139847
                   14.96                      0.89046115
                   14.98                      0.88951373
                      15                       0.8885561
                   15.02                      0.88758812
                   15.04                      0.88660969
                   15.06                      0.88562068
                   15.08                      0.88462096
                    15.1                      0.88361041
                   15.12                      0.88258889
                   15.14                      0.88155629
                   15.16                      0.88051246
                   15.18                      0.87945727
                    15.2                      0.87839058
                   15.22                      0.87731226
                   15.24                      0.87622217
                   15.26                      0.87512016
                   15.28                      0.87400609
                    15.3                      0.87287981
                   15.32                      0.87174118
                   15.34                      0.87059004
                   15.36                      0.86942624
