        Frequency / GHz                SZmin(1),Zmax(1)/arg,degrees
----------------------------------------------------------------------
                      10                       63.915209
                   10.02                        63.69574
                   10.04                       63.471267
                   10.06                       63.241594
                   10.08                       63.006512
                    10.1                       62.765802
                   10.12                       62.519233
                   10.14                       62.266561
                   10.16                       62.007529
                   10.18                       61.741865
                    10.2                       61.469281
                   10.22                       61.189474
                   10.24                       60.902122
                   10.26                       60.606885
                   10.28                       60.303402
                    10.3                       59.991291
                   10.32                       59.670145
                   10.34                       59.339533
                   10.36                       58.998998
                   10.38                       58.648052
                    10.4                       58.286178
                   10.42                       57.912823
                   10.44                       57.527401
                   10.46                       57.129284
                   10.48                       56.717804
                    10.5                       56.292247
                   10.52                        55.85185
                   10.54                         55.3958
                   10.56                       54.923223
                   10.58                       54.433187
                    10.6                       53.924692
                   10.62                       53.396667
                   10.64                       52.847965
                   10.66                       52.277354
                   10.68                       51.683514
                    10.7                       51.065027
                   10.72                       50.420372
                   10.74                       49.747917
                   10.76                       49.045908
                   10.78                       48.312466
                    10.8                       47.545574
                   10.82                       46.743072
                   10.84                       45.902644
                   10.86                       45.021819
                   10.88                       44.097956
                    10.9                       43.128245
                   10.92                       42.109702
                   10.94                       41.039173
                   10.96                       39.913339
                   10.98                       38.728727
                      11                       37.481736
                   11.02                       36.168665
                   11.04                       34.785761
                   11.06                       33.329288
                   11.08                        31.79561
                    11.1                        30.18131
                   11.12                       28.483341
                   11.14                       26.699215
                   11.16                       24.827243
                   11.18                       22.866826
                    11.2                       20.818809
                   11.22                       18.685901
                   11.24                       16.473164
                   11.26                        14.18858
                   11.28                       11.843708
                    11.3                       9.4544363
                   11.32                       7.0418885
                   11.34                       4.6335444
                   11.36                       2.2647515
                   11.38                    -0.019081343
                    11.4                      -2.1590429
                   11.42                      -4.0769816
                   11.44                      -5.6654578
                   11.46                      -6.7693711
                   11.48                      -7.1508504
                    11.5                      -6.4189158
                   11.52                      -3.8824695
                   11.54                       1.7566524
                   11.56                       12.908445
                   11.58                       32.648061
                    11.6                       58.532993
                   11.62                       79.667452
                   11.64                       92.213855
                   11.66                       99.046013
                   11.68                       102.73359
                    11.7                       104.67412
                   11.72                       105.59753
                   11.74                       105.90229
                   11.76                       105.81829
                   11.78                       105.48493
                    11.8                       104.99026
                   11.82                       104.39178
                   11.84                         103.728
                   11.86                        103.0252
                   11.88                        102.3016
                    11.9                       101.56991
                   11.92                       100.83903
                   11.94                       100.11521
                   11.96                       99.402762
                   11.98                       98.704644
                      12                       98.022807
                   12.02                       97.358476
                   12.04                       96.712343
                   12.06                       96.084707
                   12.08                       95.475584
                    12.1                       94.884784
                   12.12                       94.311969
                   12.14                       93.756696
                   12.16                       93.218452
                   12.18                       92.696678
                    12.2                       92.190787
                   12.22                       91.700179
                   12.24                       91.224249
                   12.26                       90.762399
                   12.28                       90.314038
                    12.3                       89.878593
                   12.32                       89.455505
                   12.34                       89.044235
                   12.36                       88.644262
                   12.38                        88.25509
                    12.4                       87.876239
                   12.42                       87.507252
                   12.44                       87.147694
                   12.46                       86.797146
                   12.48                       86.455213
                    12.5                       86.121515
                   12.52                       85.795692
                   12.54                       85.477402
                   12.56                       85.166317
                   12.58                       84.862126
                    12.6                       84.564535
                   12.62                       84.273261
                   12.64                       83.988036
                   12.66                       83.708606
                   12.68                       83.434728
                    12.7                       83.166169
                   12.72                       82.902711
                   12.74                       82.644143
                   12.76                       82.390265
                   12.78                       82.140887
                    12.8                       81.895825
                   12.82                       81.654908
                   12.84                       81.417968
                   12.86                       81.184848
                   12.88                       80.955396
                    12.9                       80.729469
                   12.92                       80.506927
                   12.94                        80.28764
                   12.96                        80.07148
                   12.98                       79.858326
                      13                       79.648063
                   13.02                        79.44058
                   13.04                        79.23577
                   13.06                       79.033531
                   13.08                       78.833766
                    13.1                        78.63638
                   13.12                       78.441283
                   13.14                        78.24839
                   13.16                       78.057616
                   13.18                       77.868881
                    13.2                       77.682109
                   13.22                       77.497226
                   13.24                       77.314161
                   13.26                       77.132844
                   13.28                        76.95321
                    13.3                       76.775195
                   13.32                       76.598738
                   13.34                       76.423779
                   13.36                       76.250262
                   13.38                       76.078132
                    13.4                       75.907334
                   13.42                       75.737818
                   13.44                       75.569534
                   13.46                       75.402433
                   13.48                        75.23647
                    13.5                       75.071599
                   13.52                       74.907777
                   13.54                       74.744961
                   13.56                       74.583111
                   13.58                       74.422187
                    13.6                       74.262151
                   13.62                       74.102965
                   13.64                       73.944593
                   13.66                       73.787001
                   13.68                       73.630153
                    13.7                       73.474017
                   13.72                       73.318561
                   13.74                       73.163753
                   13.76                       73.009563
                   13.78                       72.855961
                    13.8                       72.702919
                   13.82                       72.550408
                   13.84                       72.398401
                   13.86                       72.246871
                   13.88                       72.095793
                    13.9                        71.94514
                   13.92                       71.794888
                   13.94                       71.645013
                   13.96                       71.495491
                   13.98                       71.346299
                      14                       71.197415
                   14.02                       71.048817
