        Frequency / GHz                SZmin(1),Zmax(1)/abs,dB
----------------------------------------------------------------------
                      10                      -13.540858
                   10.02                      -13.506433
                   10.04                      -13.471954
                   10.06                      -13.437423
                   10.08                      -13.402843
                    10.1                      -13.368216
                   10.12                      -13.333546
                   10.14                      -13.298837
                   10.16                      -13.264092
                   10.18                      -13.229317
                    10.2                      -13.194518
                   10.22                      -13.159702
                   10.24                      -13.124875
                   10.26                      -13.090047
                   10.28                      -13.055227
                    10.3                      -13.020425
                   10.32                      -12.985655
                   10.34                       -12.95093
                   10.36                      -12.916266
                   10.38                       -12.88168
                    10.4                      -12.847193
                   10.42                      -12.812826
                   10.44                      -12.778605
                   10.46                      -12.744559
                   10.48                      -12.710719
                    10.5                      -12.677122
                   10.52                      -12.643809
                   10.54                      -12.610824
                   10.56                       -12.57822
                   10.58                      -12.546055
                    10.6                      -12.514395
                   10.62                      -12.483314
                   10.64                      -12.452897
                   10.66                      -12.423238
                   10.68                      -12.394446
                    10.7                      -12.366642
                   10.72                      -12.339966
                   10.74                      -12.314573
                   10.76                      -12.290644
                   10.78                      -12.268382
                    10.8                      -12.248018
                   10.82                      -12.229818
                   10.84                      -12.214082
                   10.86                      -12.201156
                   10.88                      -12.191433
                    10.9                      -12.185365
                   10.92                      -12.183469
                   10.94                      -12.186337
                   10.96                      -12.194649
                   10.98                      -12.209185
                      11                       -12.23084
                   11.02                      -12.260642
                   11.04                      -12.299771
                   11.06                      -12.349581
                   11.08                      -12.411623
                    11.1                      -12.487674
                   11.12                      -12.579764
                   11.14                       -12.69021
                   11.16                      -12.821651
                   11.18                      -12.977077
                    11.2                      -13.159875
                   11.22                       -13.37386
                   11.24                      -13.623319
                   11.26                      -13.913057
                   11.28                       -14.24844
                    11.3                      -14.635466
                   11.32                      -15.080853
                   11.34                      -15.592162
                   11.36                      -16.178002
                   11.38                      -16.848329
                    11.4                      -17.614909
                   11.42                       -18.49202
                   11.44                       -19.49748
                   11.46                      -20.654117
                   11.48                      -21.991654
                    11.5                       -23.54838
                   11.52                        -25.3691
                   11.54                      -27.483308
                   11.56                      -29.797128
                   11.58                      -31.730112
                    11.6                      -32.026926
                   11.62                      -30.549895
                   11.64                       -28.54696
                   11.66                      -26.697099
                   11.68                       -25.12597
                    11.7                      -23.807285
                   11.72                      -22.693185
                   11.74                      -21.741754
                   11.76                      -20.920307
                   11.78                       -20.20393
