        Frequency / GHz                SZmin(1),Zmax(1)/abs,linear
----------------------------------------------------------------------
                      10                      0.21035707
                   10.02                      0.21119243
                   10.04                      0.21203244
                   10.06                      0.21287705
                   10.08                      0.21372624
                    10.1                      0.21457998
                   10.12                      0.21543819
                   10.14                      0.21630082
                   10.16                      0.21716779
                   10.18                      0.21803898
                    10.2                      0.21891427
                   10.22                      0.21979353
                   10.24                      0.22067657
                   10.26                      0.22156321
                   10.28                       0.2224532
                    10.3                      0.22334628
                   10.32                      0.22424214
                   10.34                      0.22514043
                   10.36                      0.22604073
                   10.38                      0.22694258
                    10.4                      0.22784545
                   10.42                      0.22874873
                   10.44                      0.22965174
                   10.46                      0.23055367
                   10.48                      0.23145365
                    10.5                      0.23235064
                   10.52                      0.23324351
                   10.54                      0.23413094
                   10.56                      0.23501144
                   10.58                      0.23588333
                    10.6                      0.23674469
                   10.62                      0.23759335
                   10.64                      0.23842684
                   10.66                      0.23924236
                   10.68                      0.24003672
                    10.7                      0.24080632
                   10.72                      0.24154704
                   10.74                      0.24225421
                   10.76                      0.24292253
                   10.78                      0.24354595
                    10.8                      0.24411759
                   10.82                      0.24462966
                   10.84                      0.24507324
                   10.86                      0.24543823
                   10.88                      0.24571312
                    10.9                      0.24588483
                   10.92                      0.24593851
                   10.94                      0.24585732
                   10.96                      0.24562216
                   10.98                      0.24521145
                      11                      0.24460087
                   11.02                      0.24376306
                   11.04                       0.2426674
                   11.06                      0.24127979
                   11.08                      0.23956251
                    11.1                      0.23747414
                   11.12                      0.23496967
                   11.14                       0.2320008
                   11.16                      0.22851644
                   11.18                      0.22446371
                    11.2                      0.21978916
                   11.22                       0.2144406
                   11.24                      0.20836944
                   11.26                      0.20153347
                   11.28                       0.1939001
                    11.3                      0.18544993
                   11.32                      0.17618031
                   11.34                      0.16610852
                   11.36                      0.15527441
                   11.38                      0.14374196
                    11.4                       0.1315996
                   11.42                      0.11895947
                   11.44                      0.10595611
                   11.46                     0.092745774
                   11.48                     0.079509186
                    11.5                     0.066463165
                   11.52                     0.053894567
                   11.54                     0.042250767
                   11.56                     0.032370067
                   11.58                     0.025911609
                    11.6                     0.025041118
                   11.62                     0.029682827
                   11.64                     0.037381092
                   11.66                     0.046253548
                   11.68                     0.055424465
                    11.7                     0.064511295
                   11.72                     0.073339974
                   11.74                     0.081829953
                   11.76                     0.089946578
                   11.78                     0.097679519
                    11.8                      0.10503203
                   11.82                      0.11201515
                   11.84                      0.11864435
                   11.86                      0.12493746
                   11.88                      0.13091343
                    11.9                      0.13659148
                   11.92                      0.14199058
                   11.94                      0.14712911
                   11.96                      0.15202464
                   11.98                      0.15669385
                      12                      0.16115242
                   12.02                      0.16541504
                   12.04                      0.16949542
                   12.06                      0.17340632
                   12.08                      0.17715958
                    12.1                       0.1807662
                   12.12                      0.18423634
                   12.14                      0.18757941
                   12.16                      0.19080412
                   12.18                      0.19391852
                    12.2                      0.19693006
                   12.22                      0.19984562
                   12.24                      0.20267158
                   12.26                      0.20541384
                   12.28                      0.20807786
                    12.3                       0.2106687
                   12.32                      0.21319106
                   12.34                      0.21564928
                   12.36                      0.21804742
                   12.38                      0.22038923
                    12.4                       0.2226782
                   12.42                      0.22491759
                   12.44                      0.22711042
                   12.46                      0.22925952
                   12.48                      0.23136752
                    12.5                      0.23343687
                   12.52                      0.23546989
                   12.54                      0.23746871
                   12.56                      0.23943536
                   12.58                      0.24137171
                    12.6                      0.24327953
                   12.62                      0.24516049
                   12.64                      0.24701614
                   12.66                      0.24884795
                   12.68                      0.25065729
                    12.7                      0.25244548
                   12.72                      0.25421372
                   12.74                      0.25596317
                   12.76                      0.25769493
                   12.78                      0.25941001
                    12.8                       0.2611094
                   12.82                      0.26279402
                   12.84                      0.26446473
                   12.86                      0.26612237
                   12.88                      0.26776771
                    12.9                       0.2694015
                   12.92                      0.27102444
                   12.94                      0.27263721
                   12.96                      0.27424044
                   12.98                      0.27583475
                      13                      0.27742071
                   13.02                      0.27899887
                   13.04                      0.28056976
                   13.06                      0.28213387
                   13.08                       0.2836917
                    13.1                       0.2852437
                   13.12                      0.28679031
                   13.14                      0.28833195
                   13.16                      0.28986902
                   13.18                       0.2914019
                    13.2                      0.29293098
                   13.22                      0.29445659
                   13.24                      0.29597909
                   13.26                      0.29749879
                   13.28                      0.29901603
                    13.3                      0.30053109
                   13.32                      0.30204428
                   13.34                      0.30355587
                   13.36                      0.30506614
                   13.38                      0.30657535
                    13.4                      0.30808374
                   13.42                      0.30959158
                   13.44                      0.31109908
                   13.46                      0.31260649
                   13.48                      0.31411401
                    13.5                      0.31562188
                   13.52                      0.31713029
                   13.54                      0.31863945
                   13.56                      0.32014955
                   13.58                      0.32166078
                    13.6                      0.32317332
                   13.62                      0.32468737
                   13.64                      0.32620309
                   13.66                      0.32772064
                   13.68                      0.32924021
                    13.7                      0.33076194
                   13.72                        0.332286
                   13.74                      0.33381253
                   13.76                       0.3353417
                   13.78                      0.33687364
                    13.8                       0.3384085
                   13.82                      0.33994642
                   13.84                      0.34148753
                   13.86                      0.34303197
                   13.88                      0.34457988
                    13.9                      0.34613137
                   13.92                      0.34768658
                   13.94                      0.34924563
                   13.96                      0.35080864
                   13.98                      0.35237572
                      14                      0.35394701
                   14.02                      0.35552261
                   14.04                      0.35710263
                   14.06                      0.35868719
                   14.08                       0.3602764
                    14.1                      0.36187037
                   14.12                      0.36346919
                   14.14                      0.36507298
                   14.16                      0.36668184
                   14.18                      0.36829588
                    14.2                      0.36991518
                   14.22                      0.37153986
                   14.24                      0.37317001
                   14.26                      0.37480572
                   14.28                       0.3764471
                    14.3                      0.37809424
                   14.32                      0.37974723
                   14.34                      0.38140616
                   14.36                      0.38307113
                   14.38                      0.38474223
                    14.4                      0.38641955
                   14.42                      0.38810317
                   14.44                      0.38979319
                   14.46                      0.39148969
                   14.48                      0.39319275
                    14.5                      0.39490248
                   14.52                      0.39661894
                   14.54                      0.39834223
                   14.56                      0.40007244
                   14.58                      0.40180963
                    14.6                       0.4035539
                   14.62                      0.40530532
                   14.64                      0.40706399
                   14.66                      0.40882998
                   14.68                      0.41060337
                    14.7                      0.41238424
                   14.72                      0.41417267
                   14.74                      0.41596874
                   14.76                      0.41777253
                   14.78                      0.41958412
                    14.8                      0.42140358
                   14.82                      0.42323099
                   14.84                      0.42506643
                   14.86                      0.42690997
                   14.88                       0.4287617
                    14.9                      0.43062168
                   14.92                      0.43248998
                   14.94                       0.4343667
                   14.96                      0.43625189
                   14.98                      0.43814563
